Index,CR No.,Commercial Name (English),Commercial Name (Arabic),Company Type,Registration Date,Expiration Date,Status,Activity List
0,34-7,AL NOOH CUT AND BEND STEEL FACTORY,مصنع ال نوح لقطع وثني الحديد,With Limited Liability Company,27/05/2007,27/05/2022,ACTIVE,Manufacture of basic iron and steel
1,1497-5,RELIANCE STEEL FABRICATION AND MECHANICAL SERV...,خدمات ريلانس للفبركة الميكانيكية,Individual Establishment,09/02/2005,09/02/2016,DELETED WITH PAYMENT,Repair of electronic, electrical, and optical ...
2,1958-2,ENTER STEEL,انتر ستيل,Individual Establishment,12/07/1975,12/07/1994,SOLD OR LEGAL STATUS CHANGED,NaN
3,3456-7,BAHRAIN STEEL FACTORY,مصنع البحرين للحديد المطاوع,Individual Establishment,14/03/1995,14/03/2009,SOLD OR LEGAL STATUS CHANGED,NaN
4,3457-1,NOOR STEEL & ALUMINIUM,نور لانتاج صفائح الحديد والألمنيوم,Individual Establishment,08/02/1975,08/02/2013,SOLD OR LEGAL STATUS CHANGED,NaN
5,4646-1,STEEL STORE CO. W.L.L,استيل ستور ذ.م.م,With Limited Liability Company,02/07/1995,16/08/2011,DELETED WITH PAYMENT,NaN
6,4646-2,STEEL STORE CO. W.L.L,استيل ستور ذ.م.م,With Limited Liability Company,21/09/1999,21/09/2022,ACTIVE,Sale/Trade of motor vehicle parts and accessor...
7,4646-4,STEEL STORE REAL ESTATE,شركة استيل ستور للعقارات,With Limited Liability Company,01/09/2015,01/09/2022,ACTIVE,Real estate activities with own or leased prop...
8,4646-6,STEEL STORE CO. W.L.L,استيل ستور ذ.م.م,With Limited Liability Company,08/06/2021,08/06/2022,ACTIVE,Sale/Trade of motor vehicle parts and accessories
9,5012-3,EK STEEL WORKS W.L.L,إي كيه ستيل وركس ذ.م.م,With Limited Liability Company,05/04/2017,05/04/2022,ACTIVE,Welding, Blacksmith, and Fabrication Workshop
